,coin,acc_trade_vol,traded_time,traded_price,ask_bid,high,dev,24h_vol
101,KRW-CELO,3798649.65994566,1714500398.84137,1061.0,ASK,1188.0,-0.0,4678402383.645187
102,KRW-GMT,28134593.77199127,1714500398.8422022,303.1,ASK,336.2,-0.0,9918678490.59232
103,KRW-APT,1377261.45680886,1714500398.8429718,11880.0,BID,13280.0,0.0,19513039361.965794
104,KRW-SHIB,4750979498057.619,1714500398.84361,0.03199,ASK,0.03553,-0.0,175019048457.69745
105,KRW-MASK,1229140.4224185,1714500398.844439,4408.0,ASK,4909.0,-0.0,6318512265.429031
106,KRW-ARB,11679711.92840624,1714500398.845741,1421.0,ASK,1531.0,-0.0,20720604164.069813
107,KRW-EGLD,40055.45615956,1714500398.846524,53640.0,ASK,58050.0,-0.0,2467537271.9629016
108,KRW-SUI,10367713.80505439,1714500398.8471732,1582.0,BID,1727.0,0.0,17902508322.820713
109,KRW-GRT,46204976.97811604,1714500398.8479722,335.5,BID,373.0,0.0,17767281230.40408
110,KRW-BLUR,20065150.87620322,1714500398.848635,522.4,ASK,579.8,-0.0,12259442631.954601
111,KRW-IMX,1048640.50995799,1714500398.8492942,2700.0,ASK,3083.0,-0.0,3173250532.048405
112,KRW-SEI,73214136.67524767,1714500398.84994,800.4,BID,911.6,0.0,81167870610.2591
113,KRW-MINA,4208546.17727847,1714500398.850593,1107.0,ASK,1214.0,-0.0,5445910826.143801
114,KRW-CTC,6528340.38400195,1714500398.851234,903.1,BID,989.0,0.0,7334365059.345031
115,KRW-ASTR,136211997.96344748,1714500398.852017,131.7,BID,152.0,0.0,19222823642.900444
116,KRW-ID,17092285.36279035,1714500398.85265,967.0,ASK,1055.0,-0.0,18666532852.9185
117,KRW-PYTH,30334978.29723667,1714500398.853514,727.4,ASK,821.7,-0.0,24714782344.21105
118,KRW-MNT,7299987.72125797,1714500398.854191,1363.0,BID,1497.0,0.0,11300332154.797625
119,KRW-AKT,2158214.87210043,1714500398.855104,5667.0,BID,6205.0,0.0,14262880284.445362
120,KRW-ONT,158587172.48850882,1714500398.85588,534.5,BID,589.8,8.262156170775192e-10,101279419705.98772
121,KRW-AQT,535084.58168842,1714500398.856569,1858.0,ASK,1966.0,-4.988227247214286e-09,1078966745.7674117
122,KRW-AQT,535086.93107277,1714500398.857226,1858.0,ASK,1966.0,-2.1774390723531358e-09,1078966745.7674117
123,KRW-NEAR,7506903.85136895,1714500398.858038,8637.0,BID,9898.0,1.2778373048052562e-10,79400607040.25192
124,KRW-BTC,5750.42391825,1714500398.9573739,86874000.0,BID,92540000.0,9.96575327835782e-16,577517808937.0522
125,KRW-ORBS,153031619.39674097,1714500399.424105,46.91,ASK,50.83,-4.551221181747354e-08,8099531072.375581
126,KRW-BSV,74892.84246411,1714500399.5449758,85770.0,BID,94680.0,3.812645815541922e-10,7606266462.446051
127,KRW-DOGE,433524665.847075,1714500400.1044428,191.3,BID,209.1,2.637120418484921e-08,99111733672.55426
128,KRW-ETC,1440742.65413024,1714500400.1941829,36320.0,BID,40110.0,1.638244233614022e-11,61040959551.7981
129,KRW-STX,22143124.00649066,1714500400.566412,3238.0,BID,3739.0,2.3527852528298793e-10,85005633114.81331
130,KRW-ETH,31124.65256745,1714500400.703434,4290000.0,BID,4653000.0,7.158190088122531e-12,156480099887.04108
131,KRW-STX,22143182.74243866,1714500400.783036,3238.0,ASK,3739.0,-6.909653613281277e-10,85005633114.81331
132,KRW-HIFI,7887931.22992731,1714500400.8250291,1015.0,BID,1140.0,1.934127249548944e-08,9687902094.532438
133,KRW-STX,22143294.14243866,1714500400.9233239,3238.0,ASK,3739.0,-1.3105013858525373e-09,85005633114.81331
134,KRW-ETH,31124.73641405,1714500400.925036,4290000.0,BID,4653000.0,5.358291569290776e-13,156480099887.04108
135,KRW-MATIC,11043167.09516888,1714500400.993003,947.6,BID,1020.0,1.1353953690035975e-09,13012353856.35662
136,KRW-BCH,33952.3820469,1714500401.535574,616000.0,ASK,673200.0,-7.989853541010827e-11,24386055639.140945
137,KRW-VET,242278704.7550351,1714500401.594599,51.03,ASK,57.9,-2.4574010995412225e-06,15430733183.997551
138,KRW-VET,242337804.7550351,1714500401.5963619,51.04,ASK,57.9,-3.8300189171367235e-06,15430733183.997551
139,KRW-VET,242342804.7550351,1714500401.597713,51.03,ASK,57.9,-3.2402867319261617e-07,15430733183.997551
140,KRW-BTC,5750.43013414,1714500401.805896,86874000.0,BID,92540000.0,1.0763113974722174e-14,577517808937.0522
141,KRW-ETH,31124.77371405,1714500402.252751,4290000.0,BID,4653000.0,2.3836896849430156e-13,156480099887.04108
142,KRW-BTC,5750.46114077,1714500403.006624,86874000.0,BID,92540000.0,5.368947852507589e-14,577517808937.0522
143,KRW-BTC,5750.46331764,1714500403.0089018,86874000.0,BID,92540000.0,3.76935562188822e-15,577517808937.0522
144,KRW-BTC,5750.48013414,1714500403.018683,86874000.0,BID,92540000.0,2.911858256025253e-14,577517808937.0522
145,KRW-BTC,5750.51349913,1714500403.064236,86874000.0,BID,92540000.0,5.77730928536149e-14,577517808937.0522
146,KRW-DOGE,433526221.3056238,1714500403.213847,191.3,BID,209.1,1.569398991629781e-08,99111733672.55426
